Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1JY6B9ILvmRla2IKKRZvnH,"3dz0NnIZhtKKeXZxLOxCam","Sad Machine","Worlds","Porter Robinson",2014-08-12,350690,60,spotify:user:kelsey2701,2018-06-19T05:22:58Z,"complextro,edm,electro house,pop dance,progressive electro house",0.47,0.706,0,-4.902,0,0.0322,0.034,0.00000131,0.0726,0.327,88.519,4
6RKGBcDtgzXx21zUjpeu6F,"1dWEYMPtNmvSVaDNLgB6NV","Cold Cold Man","My Type EP","Saint Motel",2014-08-16,230773,68,spotify:user:kelsey2701,2018-06-19T05:23:03Z,"la indie,modern alternative rock,modern rock,pov: indie",0.613,0.661,9,-4.984,1,0.0263,0.00652,0,0.0976,0.509,110.978,4
2Iq6HhIquO7JKr0KfTNLzU,"1dWEYMPtNmvSVaDNLgB6NV","My Type","My Type EP","Saint Motel",2014-08-16,204811,71,spotify:user:kelsey2701,2018-06-19T05:23:08Z,"la indie,modern alternative rock,modern rock,pov: indie",0.595,0.896,10,-2.951,1,0.047,0.0641,0.0000582,0.0748,0.567,118.001,4
3rDDKOZbYKC80OWo5XTn7B,"42crL07E4WPfVovyUtMpvC","Long Way Down","Long Way Down","Robert DeLong",2014-11-10,233986,0,spotify:user:kelsey2701,2018-06-19T05:25:43Z,"modern alternative rock",0.593,0.833,11,-3.197,0,0.0573,0.0586,0.00000248,0.0866,0.45,80.015,4
7ygO2E3yfwZVYbzaPdGzed,"4wYk01oPJNfaEssVFL46oQ","Guru","Guru","Coast Modern",2016-05-20,204466,0,spotify:user:kelsey2701,2018-06-19T05:25:48Z,"indie poptimism,modern alternative rock,modern rock",0.76,0.701,3,-6.393,1,0.042,0.232,0.00295,0.07,0.81,140.023,4
4WMuY659P2MKnoW40oGXe8,"4kI8Ie27vjvonwaB2ePh8T","Purple Yellow Red and Blue","Evil Friends","Portugal. The Man",2013-05-31,249746,60,spotify:user:kelsey2701,2018-06-19T05:26:03Z,"indie rock,indietronica,modern alternative rock,modern rock",0.601,0.859,4,-6.311,0,0.0397,0.0351,0.331,0.144,0.431,101.003,4
2sDFknh1dm8xiCnE3885k2,"3vbKDsSS70ZX9D2OcvbZmS","Gamma Ray","Modern Guilt","Beck",2008-01-01,176920,0,spotify:user:kelsey2701,2018-06-19T05:26:15Z,"alternative rock,anti-folk,permanent wave,rock",0.61,0.914,11,-4.158,0,0.0397,0.127,0.258,0.34,0.74,168.071,4
6shRGWCtBUOPFLFTTqXZIC,"3GBPw9NK25X1Wt2OUvOwY3","Upside Down","Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George","Jack Johnson",2006,208653,67,spotify:user:kelsey2701,2018-06-19T05:27:34Z,"neo mellow",0.787,0.655,6,-8.339,0,0.0431,0.238,0.000171,0.138,0.65,102.485,4
3n69hLUdIsSa1WlRmjMZlW,"3XHO7cRUPCLOr6jwp8vsx5","Breezeblocks","An Awesome Wave","alt-J",2012-09-18,227080,75,spotify:user:kelsey2701,2018-06-19T05:27:39Z,"indie rock,indietronica,modern alternative rock,modern rock,rock",0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,4
3xqxETvPg43KWP0HOGiOmu,"3XHO7cRUPCLOr6jwp8vsx5","Something Good","An Awesome Wave","alt-J",2012-09-18,217320,61,spotify:user:kelsey2701,2018-06-19T05:27:44Z,"indie rock,indietronica,modern alternative rock,modern rock,rock",0.682,0.581,7,-10.339,1,0.0295,0.714,0.323,0.0802,0.539,108.98,4
