Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,target,Track Name,Artist Name(s)
0.437,0.564,237840,0.703,0.00927,2,0.358,-5.459,1,0.269,139.045,4,0.477,0,Feeling Myself,"Nicki Minaj,Beyoncé"
0.256,0.682,159735,0.919,0.0,0,0.442,-3.18,0,0.0875,95.982,4,0.535,0,Good as Hell,Lizzo
0.000354,0.667,216160,0.922,0.0,5,0.0867,-4.645,1,0.0353,130.01,4,0.761,0,Part Of Me,Katy Perry
0.0861,0.655,214786,0.623,0.000346,11,0.0652,-6.302,0,0.116,175.973,4,0.615,0,Miss Independent,Kelly Clarkson
0.0188,0.654,178583,0.796,0.0,2,0.0948,-4.761,0,0.122,108.854,4,0.491,0,Blow Your Mind (Mwah),Dua Lipa
0.0468,0.553,203474,0.639,0.0,11,0.107,-6.445,1,0.0458,101.418,4,0.442,0,Rise,Katy Perry
0.11,0.715,173325,0.624,0.0,4,0.123,-3.046,0,0.114,158.087,4,0.412,0,Truth Hurts,Lizzo
0.0509,0.781,219305,0.728,1.94e-06,1,0.257,-4.981,1,0.0621,102.99,4,0.395,0,Bitch Better Have My Money,Rihanna
0.00327,0.587,260252,0.828,0.0,11,0.331,-5.108,1,0.161,123.907,4,0.494,0,Born This Way,Lady Gaga
0.0064,0.687,214840,0.702,4.35e-05,7,0.204,-5.324,0,0.0455,129.956,4,0.284,0,Break Free,"Ariana Grande,Zedd"
0.00775,0.638,162398,0.688,0.0,1,0.126,-4.056,0,0.0407,129.856,4,0.434,0,Kings & Queens,Ava Max
0.0233,0.602,197546,0.658,6e-05,1,0.237,-5.934,1,0.0558,145.031,4,0.268,0,God is a woman,Ariana Grande
0.0843,0.682,195613,0.927,0.0,4,0.149,-2.915,1,0.0479,101.019,4,0.744,0,Who Says,Selena Gomez & The Scene
0.0444,0.743,196360,0.765,0.0417,5,0.667,-3.588,0,0.039,114.991,4,0.34,0,Woman (feat. The Dap-Kings Horns),"Kesha,The Dap-Kings Horns"
0.0598,0.722,179146,0.773,0.0,5,0.179,-4.378,0,0.0792,94.997,4,0.724,0,S.L.U.T.,Bea Miller
0.0181,0.726,210035,0.869,0.00022,6,0.332,-3.978,1,0.0638,112.966,4,0.529,0,Badass Woman - From The Motion Picture The Hustle,Meghan Trainor
0.00611,0.767,195144,0.889,0.0,7,0.402,-2.988,1,0.0963,119.93,4,0.843,0,Juice,Lizzo
0.103,0.745,186520,0.642,0.0,6,0.0335,-4.138,0,0.0506,120.063,4,0.35,0,Not Your Barbie Girl,Ava Max
0.127,0.707,134239,0.955,0.0,10,0.202,-4.593,0,0.222,125.989,4,0.575,0,Boss Bitch,Doja Cat
0.107,0.847,227386,0.603,7.4e-06,0,0.106,-4.607,0,0.0397,114.045,4,0.735,0,successful,Ariana Grande
0.298,0.668,159011,0.892,0.0,5,0.735,-3.001,0,0.0645,95.927,4,0.478,0,Good as Hell (feat. Ariana Grande),"Lizzo,Ariana Grande"
0.0226,0.826,152862,0.658,0.0,6,0.0417,-3.846,1,0.0517,115.022,4,0.523,0,No Excuses,Meghan Trainor
0.0114,0.632,215413,0.702,0.0,7,0.108,-5.92,1,0.148,162.958,4,0.523,0,Just Like Fire (From the Original Motion Picture Alice Through The Looking Glass),P!nk
0.805,0.398,253342,0.316,0.0,1,0.295,-7.031,1,0.0368,118.582,4,0.174,0,Rise Up,Andra Day
0.0175,0.795,191133,0.908,1.01e-05,1,0.0418,-3.126,1,0.165,115.034,4,0.63,0,Not That Kinda Girl (feat. Missy Elliott),"Fifth Harmony,Missy Elliott"
0.467,0.474,208800,0.489,0.0,6,0.119,-7.625,0,0.0342,124.844,4,0.23,0,Speechless (Full),Naomi Scott
0.192,0.743,209423,0.72,0.000386,11,0.109,-3.753,1,0.124,163.99,4,0.519,0,Black Widow,"Iggy Azalea,Rita Ora"
0.0053,0.808,172426,0.581,1.19e-05,11,0.0828,-5.43,1,0.07,130.012,4,0.758,0,Love So Soft,Kelly Clarkson
0.241,0.64,234413,0.659,8.33e-06,8,0.484,-7.273,1,0.215,136.804,4,0.457,0,Flawless Remix (feat. Nicki Minaj),"Beyoncé,Nicki Minaj"
0.0167,0.694,184857,0.807,0.0,2,0.547,-3.183,1,0.0888,144.031,4,0.797,0,Like a Girl,Lizzo
0.0294,0.654,200106,0.655,0.0,11,0.139,-7.388,0,0.106,170.16,4,0.221,0,Bad Blood,"Taylor Swift,Kendrick Lamar"
0.00628,0.713,235127,0.801,1.5e-06,7,0.825,-5.781,1,0.0483,153.984,4,0.727,0,Hair (feat. Sean Paul),"Little Mix,Sean Paul"
0.204,0.766,211853,0.709,1.41e-05,9,0.126,-6.471,0,0.123,128.07,4,0.506,0,Look What You Made Me Do,Taylor Swift
0.0432,0.612,164586,0.691,0.0,0,0.19,-4.932,0,0.12,175.003,4,0.25,0,I'm a Lady - from SMURFS: THE LOST VILLAGE,Meghan Trainor
0.0679,0.696,238253,0.602,2.11e-05,0,0.0696,-6.156,0,0.159,82.989,4,0.305,0,I Did Something Bad,Taylor Swift
0.103,0.803,214480,0.585,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,0.593,0,Work from Home (feat. Ty Dolla $ign),"Fifth Harmony,Ty Dolla $ign"
0.0416,0.688,209186,0.723,0.0002,6,0.302,-6.682,0,0.121,140.023,4,0.618,0,Replay,Zendaya
0.468,0.737,172324,0.802,0.0,0,0.0931,-4.771,1,0.0878,144.015,4,0.682,0,positions,Ariana Grande
0.237,0.83,173710,0.585,0.0,0,0.248,-6.476,1,0.094,109.978,4,0.485,0,34+35,Ariana Grande
0.36,0.487,201882,0.534,0.0,0,0.1,-5.664,0,0.0555,131.798,4,0.173,0,pov,Ariana Grande
0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354,0,no tears left to cry,Ariana Grande
0.0224,0.547,181868,0.693,0.0,6,0.523,-6.404,1,0.0264,79.963,4,0.716,0,Raise Hell,Dorothy
0.00454,0.622,219720,0.469,2.25e-06,3,0.0335,-6.798,0,0.0363,77.019,4,0.679,0,I Knew You Were Trouble.,Taylor Swift
0.0527,0.613,208186,0.764,0.0,2,0.197,-6.509,1,0.136,160.015,4,0.417,0,...Ready For It?,Taylor Swift
